City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
10,Puerto Ayora,EC,70.65,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Alta Floresta,BR,74.61,-9.8756,-56.0861,Floresta Amazonica Hotel
14,Ribeira Grande,PT,70.86,38.5167,-28.7,Quinta da Meia Eira
16,Rikitea,PF,74.59,-23.1203,-134.9692,People ThankYou
39,Arraial Do Cabo,BR,70.68,-22.9661,-42.0278,Pousada Porto Praia
44,Soyo,AO,77.14,-6.1349,12.3689,Hotel Mpampa
56,Veraval,IN,74.79,20.9,70.3667,Lords Inn Somnath
57,Grand Gaube,MU,70.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
61,Carnarvon,AU,73.47,-24.8667,113.6333,Hospitality Carnarvon
62,Payao,PH,79.57,10.1833,122.95,Manolita
63,Atuona,PF,78.35,-9.8,-139.0333,Villa Enata
71,Banda Aceh,ID,77.97,5.5577,95.3222,Sulthan Hotel International
73,Itarema,BR,79.59,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
74,Lamu,KE,79.02,-2.2717,40.902,Lamu House
76,Tezu,IN,71.8,27.9167,96.1667,Circuit House
85,Saint George,US,72.95,37.1041,-113.5841,Best Western Plus Abbey Inn
87,Kloulklubed,PW,77.5,7.0419,134.2556,Storyboard Beach Resort
91,Kontagora,NG,73.35,10.3999,5.4695,Queens Guest Inn
93,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
98,Airai,TL,76.53,-8.9266,125.4092,Juvinal Martin
102,Cruzeiro Do Sul,BR,75.07,-29.5128,-51.9853,Estrela Palace Hotel
113,Touros,BR,79.7,-5.1989,-35.4608,INN NEW HORIZON
119,Namwala,ZM,73.6,-15.7504,26.4384,Corner Point Lodge
133,Vila Do Maio,CV,74.19,15.1333,-23.2167,Hotel Marilu
134,Geraldton,AU,70.21,-28.7667,114.6,Broadwater Mariner Resort
135,Nova Olinda Do Norte,BR,78.62,-3.8881,-59.0942,Jardim Paiva Hotel
145,Souillac,MU,70.36,-20.5167,57.5167,Shanti Maurice Resort & Spa
151,Concordia,AR,77.79,-31.393,-58.0209,Palmar Hotel Casino
152,Limon,CR,78.08,10.0,-83.0333,Hotel Playa Bonita
153,Biltine,TD,78.64,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
156,Mahebourg,MU,70.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Mpulungu,ZM,76.5,-8.7623,31.1141,Chela moche guest house
162,Tadine,NC,77.43,-21.55,167.8833,
163,Bilma,NE,77.92,18.6853,12.9164,Expeditions Ténére voyages
166,Cosala,MX,76.12,24.4125,-106.6908,Hotel Real del Conde
171,Ixtapa,MX,74.88,20.7,-105.2,Hotel Plaza Providencia
173,Boende,CD,70.75,-0.2167,20.8667,
175,Mana,GF,78.4,5.6592,-53.7767,LE SAMANA
178,Lazaro Cardenas,MX,78.84,17.9583,-102.2,quinta antigua
183,Bandarbeyla,SO,78.21,9.4942,50.8122,JABIR HOTEL
184,Maceio,BR,76.44,-9.6658,-35.7353,Poutur Pousada
186,Keffi,NG,73.45,8.8486,7.8736,Imam Family
